singlethread-mean,plain,130
singlethread-mean,plain,130
singlethread-mean,plain,130
singlethread-median,plain,131
singlethread-median,plain,130
singlethread-median,plain,418
multithread-mean,plain,60
multithread-mean,plain,61
multithread-mean,plain,59
multithread-median,plain,62
multithread-median,plain,62
multithread-median,plain,61
hadoop-mean,local,232
hadoop-mean,local,236
hadoop-mean,local,250
hadoop-median,local,284
hadoop-median,local,247
hadoop-median,local,249
hadoop-fastmedian,local,259
hadoop-fastmedian,local,207
hadoop-fastmedian,local,220
emr-mean,cloud,160
emr-mean,cloud,158
emr-mean,cloud,173
emr-median,cloud,166
emr-median,cloud,160
emr-median,cloud,169
emr-fastmedian,cloud,158
emr-fastmedian,cloud,158
emr-fastmedian,cloud,157
